measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Germany,Both,All Ages,Substance use disorders,Number,2017,534503.4616858943,627709.6049808142,450902.0808201479
DALYs (Disability-Adjusted Life Years),Germany,Both,All Ages,Substance use disorders,Percent,2017,0.02081177315337548,0.02281315644716797,0.018868343050826592
DALYs (Disability-Adjusted Life Years),Germany,Both,All Ages,Substance use disorders,Rate,2017,641.7030044385886,753.6024896090548,541.3346043770553
DALYs (Disability-Adjusted Life Years),Philippines,Both,All Ages,Substance use disorders,Number,2017,318847.4696116724,398528.86128347635,246911.446152619
DALYs (Disability-Adjusted Life Years),Philippines,Both,All Ages,Substance use disorders,Percent,2017,0.009787003649454973,0.011767000148895111,0.007994524294818835
DALYs (Disability-Adjusted Life Years),Philippines,Both,All Ages,Substance use disorders,Rate,2017,308.15266388969366,385.16137635026,238.62952392080334
DALYs (Disability-Adjusted Life Years),Mexico,Both,All Ages,Mental disorders,Number,2017,1803545.9801697012,2346460.2518027867,1332719.1660239426
DALYs (Disability-Adjusted Life Years),Mexico,Both,All Ages,Mental disorders,Percent,2017,0.05618893931430974,0.06807252820191581,0.045188957842047066
DALYs (Disability-Adjusted Life Years),Mexico,Both,All Ages,Mental disorders,Rate,2017,1424.9426964303525,1853.8875277002362,1052.9526071965631
DALYs (Disability-Adjusted Life Years),Mexico,Both,All Ages,Schizophrenia,Number,2017,166549.66572884537,206679.32505027752,123501.62740079453
DALYs (Disability-Adjusted Life Years),Mexico,Both,All Ages,Schizophrenia,Percent,2017,0.005208030202128465,0.006374542542988953,0.004007166729755256
DALYs (Disability-Adjusted Life Years),Mexico,Both,All Ages,Schizophrenia,Rate,2017,131.58729102703788,163.29286747978378,97.57596640007264
DALYs (Disability-Adjusted Life Years),Mexico,Both,All Ages,Alcohol use disorders,Number,2017,394972.79717467236,477247.58380873274,324401.0790010039
DALYs (Disability-Adjusted Life Years),Mexico,Both,All Ages,Alcohol use disorders,Percent,2017,0.01233598776666152,0.014006352535221662,0.010903837312541425
DALYs (Disability-Adjusted Life Years),Mexico,Both,All Ages,Alcohol use disorders,Rate,2017,312.0594699613699,377.0630005636442,256.3022807952539
DALYs (Disability-Adjusted Life Years),Mexico,Both,All Ages,Drug use disorders,Number,2017,324164.5772792062,415343.70655807125,242966.57079862294
DALYs (Disability-Adjusted Life Years),Mexico,Both,All Ages,Drug use disorders,Percent,2017,0.010124151632262155,0.01254224678648258,0.008020512858367447
DALYs (Disability-Adjusted Life Years),Mexico,Both,All Ages,Drug use disorders,Rate,2017,256.1154258966963,328.1540851609156,191.96263601976457
DALYs (Disability-Adjusted Life Years),Mexico,Both,All Ages,Opioid use disorders,Number,2017,213722.25559139688,278369.6695375103,155783.089631524
DALYs (Disability-Adjusted Life Years),Mexico,Both,All Ages,Opioid use disorders,Percent,2017,0.0066795981930931414,0.008477142489437407,0.005110212760304153
DALYs (Disability-Adjusted Life Years),Mexico,Both,All Ages,Opioid use disorders,Rate,2017,168.85733467184838,219.93385911784907,123.08085196525353
DALYs (Disability-Adjusted Life Years),Mexico,Both,All Ages,Cocaine use disorders,Number,2017,40553.31616137792,57774.9095009076,27284.321116727744
DALYs (Disability-Adjusted Life Years),Mexico,Both,All Ages,Cocaine use disorders,Percent,2017,0.0012642614864427381,0.0017152256980723477,0.0008904783662320974
DALYs (Disability-Adjusted Life Years),Mexico,Both,All Ages,Cocaine use disorders,Rate,2017,32.04029856491331,45.64670722866548,21.55675238104184
DALYs (Disability-Adjusted Life Years),Mexico,Both,All Ages,Amphetamine use disorders,Number,2017,15914.417175144808,25736.956486037772,9024.751518643445
DALYs (Disability-Adjusted Life Years),Mexico,Both,All Ages,Amphetamine use disorders,Percent,2017,0.0004964563568352582,0.0007994971224364845,0.00029383484974668613
DALYs (Disability-Adjusted Life Years),Mexico,Both,All Ages,Amphetamine use disorders,Rate,2017,12.573637030054869,20.33421303163814,7.1302611106037315
DALYs (Disability-Adjusted Life Years),Mexico,Both,All Ages,Cannabis use disorders,Number,2017,5617.002945938095,8370.316384632617,3490.027897727081
